id_book,title,link_book
35,"Nhóc, tôi yêu em thật rồi - Sahy0_0",https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/781-nhoc-toi-yeu-em-that-roi.html
36,Chiếc ôm từ vệt gió quỷ - Lynk Boo,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/778-chiec-om-tu-vet-gio-quy.html
37,Anh là đồ khốn nhưng em yêu anh - Sam,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/773-anh-la-do-khon-nhung-em-yeu-anh.html
38,Cô dâu nhà giàu - Shisanchun,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/770-co-dau-nha-giau.html
39,Tình yêu tuổi teen - Such_as_life,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/768-tinh-yeu-tuoi-teen.html
40,Tuyết rơi mùa hè - Sheryl Nome,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/763-tuyet-roi-mua-he.html
41,Cô dâu đi học - Xinhxinhgirlhcm,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/761-co-dau-di-hoc.html
42,Tình yêu quý tộc - Luxu,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/760-tinh-yeu-quy-toc.html
43,Hợp đồng hôn nhân 100 ngày - Thượng Quan Miễu Miễu,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/758-hop-dong-hon-nhan-100-ngay.html
44,Hợp đồng sinh baby - Aries_lion,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/757-hop-dong-sinh-baby.html
45,Bách biến tiểu mỹ nhân - Chanh Tinh,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/712-bach-bien-tieu-my-nhan.html
46,Lãnh Lệ chi tinh - Bồng Vũ,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/710-lanh-le-chi-tinh.html
47,Cuồng lãng chi tình - Bồng Vũ,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/709-cuong-lang-chi-tinh.html
48,Bang chủ đoạt yêu - Tần Phương Ngọc,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/706-bang-chu-doat-yeu.html
49,Bản báo cáo tình yêu - Đan Phi Tuyết,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/705-ban-bao-cao-tinh-yeu.html
50,Bạch Nhật huyên tiêu - Quân Khuynh Tâm,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/701-bach-nhat-huyen-tieu.html
51,"Bác sĩ, Nhất Thế cần gì? - Cẩm Trúc",https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/699-bac-si-nhat-the-can-gi.html
52,Âm mưu của hoa mĩ nam - Chanh Tinh,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/694-am-muu-cua-hoa-mi-nam.html
53,Ăn xong chùi mép - Phi Cô Nương,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/693-an-xong-chui-mep.html
54,Anh xin đầu hàng - Mạc Nhan,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/691-anh-xin-dau-hang.html
55,Ánh trăng nói đã lãng quên - Độc Mộc Châu,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/690-anh-trang-noi-da-lang-quen.html
56,Ánh hoàng hôn mỏng manh - Tình Không Làm Hề,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/688-anh-hoang-hon-mong-manh.html
